FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione',NOTE_REF_AREA,Territorio (NOTE_REF_AREA),NOTE_DATA_TYPE,Indicatore (NOTE_DATA_TYPE),NOTE_TIME_PERIOD,Tempo (NOTE_TIME_PERIOD),BASE_PER,Anno base,UNIT_MEAS,Unità di misura,UNIT_MULT,Unità di moltiplicazione
A,Annuale,IT,Italia,ELMOT100,Motocicli elettrici (classe Euro non applicabile) - per 100 motocicli,2015,..,0,Il dato non raggiunge la metà della cifra minima considerata,ITTER107__IT_N4,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__ELMOT100_N1,Motocicli a trazione elettrica,,,,,,,,
A,Annuale,IT,Italia,ELMOT100,Motocicli elettrici (classe Euro non applicabile) - per 100 motocicli,2016,..,0,Il dato non raggiunge la metà della cifra minima considerata,ITTER107__IT_N4,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__ELMOT100_N1,Motocicli a trazione elettrica,,,,,,,,
A,Annuale,IT,Italia,ELMOT100,Motocicli elettrici (classe Euro non applicabile) - per 100 motocicli,2017,..,0,Il dato non raggiunge la metà della cifra minima considerata,ITTER107__IT_N4,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__ELMOT100_N1,Motocicli a trazione elettrica,,,,,,,,
A,Annuale,IT,Italia,ELMOT100,Motocicli elettrici (classe Euro non applicabile) - per 100 motocicli,2018,0.1,,,ITTER107__IT_N4,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__ELMOT100_N1,Motocicli a trazione elettrica,,,,,,,,
A,Annuale,IT,Italia,ELMOT100,Motocicli elettrici (classe Euro non applicabile) - per 100 motocicli,2019,0.1,,,ITTER107__IT_N4,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__ELMOT100_N1,Motocicli a trazione elettrica,,,,,,,,
A,Annuale,IT,Italia,ELMOT100,Motocicli elettrici (classe Euro non applicabile) - per 100 motocicli,2020,0.2,,,ITTER107__IT_N4,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__ELMOT100_N1,Motocicli a trazione elettrica,,,,,,,,
A,Annuale,IT,Italia,ELMOT100,Motocicli elettrici (classe Euro non applicabile) - per 100 motocicli,2021,0.4,,,ITTER107__IT_N4,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__ELMOT100_N1,Motocicli a trazione elettrica,,,,,,,,
A,Annuale,IT,Italia,ELMOT100,Motocicli elettrici (classe Euro non applicabile) - per 100 motocicli,2022,0.6,,,ITTER107__IT_N4,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__ELMOT100_N1,Motocicli a trazione elettrica,,,,,,,,
A,Annuale,IT,Italia,ELMOT100,Motocicli elettrici (classe Euro non applicabile) - per 100 motocicli,2023,0.7,,,ITTER107__IT_N4,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__ELMOT100_N1,Motocicli a trazione elettrica,,,,,,,,
A,Annuale,ITCD,Nord,ELMOT100,Motocicli elettrici (classe Euro non applicabile) - per 100 motocicli,2015,..,0,Il dato non raggiunge la metà della cifra minima considerata,ITTER107__ITCD_N1,'Valori riferiti all"'insieme dei comuni capoluogo. Italia, Nord, Nord-est e Capoluoghi di provincia non includono il comune di Cesena.',TIPO_DATO_AMB__ELMOT100_N1,Motocicli a trazione elettrica,,,,,,,,
